Designator,Footprint,Quantity,Value,LCSC Part #
"C12, C5, C6, C7, C8",402,5,100nF,C1525 
C4,402,1,10uF,C15525 
C9,402,1,1uF,C52923 
D2,402,1,PMEG2010EA,C2837790
F1,402,1,500mA,C914087
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948 
LED1,WS2812_1010,1,WS2812_1010,C5349953 
"R1, R4, R5",402,3,5.1k,C25905 
SW1,SW_Push_SPST_NO_Alps_SKRK,1,BOOT,C720477 
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,C81720 
U4,SOT-23,1,XC6206PxxxMR-Regulator_Linear,C5446 
U5,SOT-143,1,PRTR5V0U2X,C2827688 
